question,answer
"В день премьеры картина собрала 19 293 446 $ обогнав показатели по общим сборам фильмов «Джейсон штурмует Манхэттен» (1989), «Джейсон отправляется в Ад» (1993) и «Джейсон X» (2002), которые заработали 14 343 976, 15 935 068 и 13 121 555 $, соответственно.","В день премьеры картина собрала 19 293 446 долларов обогнав показатели по общим сборам фильмов «Джейсон штурмует Манхэттен» (1989), «Джейсон отправляется в Ад» (1993) и «Джейсон X» (2002), которые заработали 14 343 976, 15 935 068 и 13 121 555 долларов, соответственно."
"В период с 14 по 16 февраля фильм заработал ещё 24 292 003 $, добравшись к Президентскому дню до отметки 43 585 449 $.","В период с 14 по 16 февраля фильм заработал ещё 24 292 003 доллара, добравшись к Президентскому дню до отметки 43 585 449 долларов."
"К концу второго дня проката, фильм занял второе место по показателям сборов среди всех картин франшизы с 40 570 365 $, немного обогнав фильм «Проклятие» (2004), который держал рекорд самого высокого показателя по результатам третьего дня проката среди фильмов ужасов.","К концу второго дня проката, фильм занял второе место по показателям сборов среди всех картин франшизы с 40 570 365 долларов, немного обогнав фильм «Проклятие» (2004), который держал рекорд самого высокого показателя по результатам третьего дня проката среди фильмов ужасов."
"Оригинальная картина 1980 года с учётом инфляции собрала 17 251 975 $.","Оригинальная картина 1980 года с учётом инфляции собрала 17 251 975 долларов."
"Кроме того, классический фильм собрал больше денег с каждого кинотеатра при подсчёте среднего показателя — 15 683 против 13 066 $, собранных ремейком.","Кроме того, классический фильм собрал больше денег с каждого кинотеатра при подсчёте среднего показателя — 15 683 против 13 066 долларов, собранных ремейком."
"В течение второй недели количество зрителей резко уменьшилось — фильм собрал всего 2 802 977 $, что стало результатом падения показателей на 85,5 %.","В течение второй недели количество зрителей резко уменьшилось — фильм собрал всего 2 802 977 долларов, что стало результатом падения показателей на 85,5 %."
"К концу вторых выходных проката ремейк заработал ещё 7 942 472 $, разница уменьшилась до 80,4 % в сравнении с предыдущими выходными.","К концу вторых выходных проката ремейк заработал ещё 7 942 472 доллара, разница уменьшилась до 80,4 % в сравнении с предыдущими выходными."
"На третьей неделе «Пятница, 13» выбыла из десятки лидеров, собрав 3 689 156 $, по сравнению с предыдущей неделей сборы возросли на 53,6 %.","На третьей неделе «Пятница, 13» выбыла из десятки лидеров, собрав 3 689 156 долларов, по сравнению с предыдущей неделей сборы возросли на 53,6 %."
"К концу проката фильм заработал 65 млн $ в США, однако потерял возможность остаться в десятке лидеров по результатам года из-за сборов третьей недели.","К концу проката фильм заработал 65 млн долларов в США, однако потерял возможность остаться в десятке лидеров по результатам года из-за сборов третьей недели."
"Ремейк также занял пятое место по результатам сборов за Президентский день, собрав 45 033 454 $,","Ремейк также занял пятое место по результатам сборов за Президентский день, собрав 45 033 454 доллара,"
"В итоге «Пятница, 13» заняла четвёртое место по сборам за февраль 2009 года, собрав 59,8 млн $, следуя за фильмами «Заложница» (84,3 млн $), «Обещать — не значит жениться» (77,2 млн $) и «Мэдея в тюрьме» (60,9 млн $).","В итоге «Пятница, 13» заняла четвёртое место по сборам за февраль 2009 года, собрав 59,8 млн долларов, следуя за фильмами «Заложница» (84,3 млн долларов), «Обещать — не значит жениться» (77,2 млн долларов) и «Мэдея в тюрьме» (60,9 млн долларов)."
"Картина заняла 15-е место среди фильмов рейтинга «R» за 2009 год; оказалась на шестом месте по уровню потерь в сборах за вторую неделю; на седьмом месте среди лидеров проката, значительно потерявших аудиторию во вторую неделю в США; фильм стал самым кассовым ремейком слэшеров, собрав 65 млн $ и обогнав картины «Когда звонит незнакомец» (2006), «Хэллоуин 2007» (2007), «Выпускной» (2008) и «Мой кровавый Валентин в 3D» (2009), а также занял седьмую строчку среди всех ремейков фильмов ужасов и слэшеров вообще с учётом инфляции $.","Картина заняла 15-е место среди фильмов рейтинга «R» за 2009 год; оказалась на шестом месте по уровню потерь в сборах за вторую неделю; на седьмом месте среди лидеров проката, значительно потерявших аудиторию во вторую неделю в США; фильм стал самым кассовым ремейком слэшеров, собрав 65 млн долларов и обогнав картины «Когда звонит незнакомец» (2006), «Хэллоуин 2007» (2007), «Выпускной» (2008) и «Мой кровавый Валентин в 3D» (2009), а также занял седьмую строчку среди всех ремейков фильмов ужасов и слэшеров вообще с учётом инфляции доллара."
"Больше всего картина собрала в прокате Великобритании и России — по 1,7 млн $, 1,1 млн $ в Испании и по 1 млн $ в Италии и Германии.","Больше всего картина собрала в прокате Великобритании и России — по 1,7 млн долларов, 1,1 млн долларов в Испании и по 1 млн долларов в Италии и Германии."
"Общие сборы в США составили 65 002 019 $.","Общие сборы в США составили 65 002 019 долларов."
"С учётом сборов зарубежного проката, которые составили 26 377 032 $, в общей сложности фильм заработал 91 379 051 $.","С учётом сборов зарубежного проката, которые составили 26 377 032 доллара, в общей сложности фильм заработал 91 379 051 доллар."
"Обладает сильной антигистаминной активностью (более сильной, чем у амитриптилина), а также значительной М-холинолитической (антихолинергической) и α-адренолитической активностью.","Обладает сильной антигистаминной активностью (более сильной, чем у амитриптилина), а также значительной М-холинолитической (антихолинергической) и альфа-адренолитической активностью."
"Тремор рук также появляется при более высоких дозах и связан со стимуляцией периферической β-адренергической системы (снимается β-адреноблокаторами).","Тремор рук также появляется при более высоких дозах и связан со стимуляцией периферической бета-адренергической системы (снимается бета-адреноблокаторами)."
"Вследствие выраженного α-адренолитического эффекта тримипрамина часто наблюдаются (особенно в начале терапии и при быстром наращивании доз) гипотензивное действие (снижение артериального давления), ортостатическая гипотензия при вставании вплоть до обмороков и коллаптоидных состояний, тахикардия, слабость.","Вследствие выраженного альфа-адренолитического эффекта тримипрамина часто наблюдаются (особенно в начале терапии и при быстром наращивании доз) гипотензивное действие (снижение артериального давления), ортостатическая гипотензия при вставании вплоть до обмороков и коллаптоидных состояний, тахикардия, слабость."
"Проходит автодорога регионального значения «Кытманово — Порошино — Клюквенный — а/д Р-256» (идентификационный № 01 ОП РЗ 01К-71).","Проходит автодорога регионального значения «Кытманово — Порошино — Клюквенный — а/д Р-256» (идентификационный номер 01 ОП РЗ 01К-71)."
"Вальтера, младшего сотрудника спецслужбы, привлекает в ночном клубе провокационная блондинка, но она не сообщает ему ни своего имени, ни № телефона.","Вальтера, младшего сотрудника спецслужбы, привлекает в ночном клубе провокационная блондинка, но она не сообщает ему ни своего имени, ни номера телефона."
"Сыграл свою роль и жилищный вопрос, так как одним из требований было дать либо квартиры, либо «квартирные деньги» (одиноким по 5 ₽, семейным по 10).","Сыграл свою роль и жилищный вопрос, так как одним из требований было дать либо квартиры, либо «квартирные деньги» (одиноким по 5 рублей, семейным по 10)."
"Масла в огонь подлило поступившее в апреле 1914 года известие о том, что собственник завода, компания АО «Лысьвенский горный округ наследников графа П. П. Шувалова», приняла решение выдать наградные деньги заводским служащим, а также сделать благотворительное пожертвование на сумму в 350 тысяч ₽.","Масла в огонь подлило поступившее в апреле 1914 года известие о том, что собственник завода, компания АО «Лысьвенский горный округ наследников графа П. П. Шувалова», приняла решение выдать наградные деньги заводским служащим, а также сделать благотворительное пожертвование на сумму в 350 тысяч рублей."
"Рабочие потребовали выдать им 350 тысяч ₽, пожертвованных на благотворительные цели наследниками П. П. Шувалова.","Рабочие потребовали выдать им 350 тысяч рублей, пожертвованных на благотворительные цели наследниками П. П. Шувалова."
"Объём отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по предприятиям обрабатывающих производств (по фактическим ценам) за 2008 год составил 11,8 млрд ₽, за 2018 год 28,0 млрд ₽.","Объём отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по предприятиям обрабатывающих производств (по фактическим ценам) за 2008 год составил 11,8 млрд рублей, за 2018 год 28,0 млрд рублей."
"Выручка за 2019 год 1,85 млрд ₽.","Выручка за 2019 год 1,85 млрд рублей."
"Выручка за 2019 год 834 млн ₽.","Выручка за 2019 год 834 млн рублей."
"Отделился от ЛМЗ в 2000-х гг. Выручка за 2020 год 1,46 млрд ₽.","Отделился от ЛМЗ в 2000-х гг. Выручка за 2020 год 1,46 млрд рублей."
"65 % участников преодолели 5-минутный рубеж в плавании.","65 процентов участников преодолели 5-минутный рубеж в плавании."
"Также был введён 64-битный серийный №, уникальный для каждого процессора.","Также был введён 64-битный серийный номер, уникальный для каждого процессора."
"В новом ядре расширен набор SIMD-расширений (добавлен блок вещественночисленных SIMD-инструкций SSE), усовершенствован механизм потокового доступа к памяти (новый механизм предсказания позволяет уменьшить задержки при последовательном доступе к памяти), а также введён уникальный серийный № процессора, доступный для считывания программным обеспечением (с помощью инструкции cpuid).","В новом ядре расширен набор SIMD-расширений (добавлен блок вещественночисленных SIMD-инструкций SSE), усовершенствован механизм потокового доступа к памяти (новый механизм предсказания позволяет уменьшить задержки при последовательном доступе к памяти), а также введён уникальный серийный номер процессора, доступный для считывания программным обеспечением (с помощью инструкции cpuid)."
"Последнее нововведение вызвало недовольство у пользователей (серийный № мог быть считан удалённо, что могло поставить под угрозу приватность работы в Интернете), поэтому компания Intel была вынуждена выпустить утилиту, блокирующую доступ к серийному номеру.","Последнее нововведение вызвало недовольство у пользователей (серийный номер мог быть считан удалённо, что могло поставить под угрозу приватность работы в Интернете), поэтому компания Intel была вынуждена выпустить утилиту, блокирующую доступ к серийному номеру."
"Процессоры Pentium III имели серийные №, доступные по команде CPUID, кроме того, существовал скрипт, позволяющий читать этот № дистанционно.","Процессоры Pentium III имели серийные номера, доступные по команде CPUID, кроме того, существовал скрипт, позволяющий читать этот номер дистанционно."
"может быть также = нулю, то есть отсутствовать в записи формулы.","может быть также равно нулю, то есть отсутствовать в записи формулы."
"Другой тип экспериментов по проверке релятивистского замедления времени стал возможен после открытия эффекта Мёссбауэра (резонансного поглощения γ-квантов атомными ядрами без отдачи), позволяющего измерять с очень высокой точностью «расстройку» резонансной частоты ядерных систем.","Другой тип экспериментов по проверке релятивистского замедления времени стал возможен после открытия эффекта Мёссбауэра (резонансного поглощения гамма-квантов атомными ядрами без отдачи), позволяющего измерять с очень высокой точностью «расстройку» резонансной частоты ядерных систем."
"В экспериментах этого типа радионуклид (источник γ-квантов) и резонансный поглотитель, фактически двое часов, помещаются соответственно в центре и на ободе вращающегося ротора.","В экспериментах этого типа радионуклид (источник гамма-квантов) и резонансный поглотитель, фактически двое часов, помещаются соответственно в центре и на ободе вращающегося ротора."
"При неподвижном роторе резонансные частоты ядра-источника и ядра-поглотителя совпадают, γ-кванты поглощаются.","При неподвижном роторе резонансные частоты ядра-источника и ядра-поглотителя совпадают, гамма-кванты поглощаются."
"Когда ротор приводится в движение, из-за замедления времени на ободе частота линии поглощения уменьшается, и γ-кванты перестают поглощаться.","Когда ротор приводится в движение, из-за замедления времени на ободе частота линии поглощения уменьшается, и гамма-кванты перестают поглощаться."
"Наиболее наглядно эффект замедления времени проявляется на примере световых часов, в которых импульс света периодически отражается от двух зеркал, расстояние между которыми =","Наиболее наглядно эффект замедления времени проявляется на примере световых часов, в которых импульс света периодически отражается от двух зеркал, расстояние между которыми равно"
"Время движения импульса от зеркала к зеркалу в системе отсчёта, связанной с часами, =","Время движения импульса от зеркала к зеркалу в системе отсчёта, связанной с часами, равно"
"Объем торговли между двумя странами в 2018 году составил 25,4 млн $ США (экспорт/импорт Турции: 17,7/7,7 млн $ США).","Объем торговли между двумя странами в 2018 году составил 25,4 млн долларов США (экспорт/импорт Турции: 17,7/7,7 млн долларов США)."
"До сорока % массы тела южных китов составляет ворвань, имеющая достаточно низкую плотность.","До сорока процентов массы тела южных китов составляет ворвань, имеющая достаточно низкую плотность."
"По данным интернет-издания Forbes.KZ состояние Руслана Молдабекова оценивается в 95,0 миллионов $ США (по состоянию на май 2015 года).","По данным интернет-издания Forbes.KZ состояние Руслана Молдабекова оценивается в 95,0 миллионов долларов США (по состоянию на май 2015 года)."
"Власти США на базу к 2004 году потратили 163 млн $.","Власти США на базу к 2004 году потратили 163 млн долларов."
"Телефонный план нумерации Австрии — диапазоны телефонных номеров, выделяемых различным пользователям телефонной сети общего пользования в Австрии, специальные № и другие особенности набора для совершения телефонных вызовов.","Телефонный план нумерации Австрии — диапазоны телефонных номеров, выделяемых различным пользователям телефонной сети общего пользования в Австрии, специальные номера и другие особенности набора для совершения телефонных вызовов."
"Все международные № пользователей данной телефонной сети имеют общее начало +43 - называемый префиксом или кодом.","Все международные номера пользователей данной телефонной сети имеют общее начало +43 - называемый префиксом или кодом."
"В Австрии не существует стандартной длины абонентского №, их длина может быть даже меньше 3 цифр.","В Австрии не существует стандартной длины абонентского номера, их длина может быть даже меньше 3 цифр."
"Большие города имеют коды с меньшим количеством цифр, позволяющие использовать бóльшее количество цифр для абонентского № в этой зоне.","Большие города имеют коды с меньшим количеством цифр, позволяющие использовать бóльшее количество цифр для абонентского номера в этой зоне."
"Отдельные № могут принадлежать иным мобильными операторам, вне зависимости от кода оператора, благодаря MNP","Отдельные номера могут принадлежать иным мобильными операторам, вне зависимости от кода оператора, благодаря MNP"
"По итогам 2022 года, оборот компании составил 4,91 миллиарда ₽, прибыль — 156,89 миллионов ₽.","По итогам 2022 года, оборот компании составил 4,91 миллиарда рублей, прибыль — 156,89 миллионов рублей."
"Общий объём инвестиций 2012—2014 годах составил порядка 1147 млн ₽.","Общий объём инвестиций 2012—2014 годах составил порядка 1147 млн рублей."
"Выручка составила 5,9 млрд ₽ (-2,7 % к 2015), чистая прибыль — 1,1 млрд ₽ (-25 %).","Выручка составила 5,9 млрд рублей (-2,7 % к 2015), чистая прибыль — 1,1 млрд рублей (-25 %)."
"Ещё одной причиной снижения спроса на услуги Аэроэкспресса и проигрыша конкуренции такси и каршеринговым сервисам оказались достаточно дорогие билеты, 500 ₽ за пассажира, что в то время вызывало отказы от семейных и групповых поездок в пользу автотранспорта, поскольку стоимость такси из Москвы в любой аэропорт составляла около 1000 ₽, а услуги каршеринга могли обходиться ещё дешевле.","Ещё одной причиной снижения спроса на услуги Аэроэкспресса и проигрыша конкуренции такси и каршеринговым сервисам оказались достаточно дорогие билеты, 500 рублей за пассажира, что в то время вызывало отказы от семейных и групповых поездок в пользу автотранспорта, поскольку стоимость такси из Москвы в любой аэропорт составляла около 1000 рублей, а услуги каршеринга могли обходиться ещё дешевле."
"550 ₽ в вагоне стандартного класса (525 при покупке за сутки до поездки, 500 при покупке за неделю до поездки);","550 рублей в вагоне стандартного класса (525 при покупке за сутки до поездки, 500 при покупке за неделю до поездки);"
"1200 ₽ в вагоне бизнес-класса.","1200 рублей в вагоне бизнес-класса."
"Стоимость проезда в экспресс-автобусах между станцией метро «Ховрино» и аэропортом Шереметьево составляет 300 ₽.","Стоимость проезда в экспресс-автобусах между станцией метро «Ховрино» и аэропортом Шереметьево составляет 300 рублей."
"Стоимость проезда в экспресс-автобусах между станцией метро «Домодедовская» и аэропортом Домодедово составляет 300 ₽.","Стоимость проезда в экспресс-автобусах между станцией метро «Домодедовская» и аэропортом Домодедово составляет 300 рублей."
"Размер субсидий на условиях кредитования составил 10 млрд ₽, что, вместе с поддержкой инвестора, позволяет реализовать проект в полном масштабе.","Размер субсидий на условиях кредитования составил 10 млрд рублей, что, вместе с поддержкой инвестора, позволяет реализовать проект в полном масштабе."
"Смета проекта уже была составлена, общий бюджет строительства составлял 17 млрд ₽, из которых 7 млрд собирался вложить частный инвестор, группа компаний ЛСР.","Смета проекта уже была составлена, общий бюджет строительства составлял 17 млрд рублей, из которых 7 млрд собирался вложить частный инвестор, группа компаний ЛСР."
"Проект оценили в 18,8 млрд ₽.","Проект оценили в 18,8 млрд рублей."
"Изначально планировалась закупка 25 таких поездов для полного обновления парка, но в связи с валютным кризисом и девальвацией ₽ по отношению к евро в 2014 году компания была вынуждена сократить контракт и отказаться от части поездов, и в итоге их было закуплено 11: 9 шестивагонных и два четырёхвагонных; остальные были выкуплены ADY и Грузинской железной дорогой.","Изначально планировалась закупка 25 таких поездов для полного обновления парка, но в связи с валютным кризисом и девальвацией рубля по отношению к евро в 2014 году компания была вынуждена сократить контракт и отказаться от части поездов, и в итоге их было закуплено 11: 9 шестивагонных и два четырёхвагонных; остальные были выкуплены ADY и Грузинской железной дорогой."
"Так, самый дешёвый билет от Киевского вокзала до аэропорта Внуково в 2017 году стоил 500 ₽ (при этом на линии тогда не использовался инновационный подвижной состав), в то время как такой же по протяжённости проезд в обычных, сходных по качеству электропоездах РЖД и ЦППК обходится пассажирам примерно в 100 ₽.","Так, самый дешёвый билет от Киевского вокзала до аэропорта Внуково в 2017 году стоил 500 рублей (при этом на линии тогда не использовался инновационный подвижной состав), в то время как такой же по протяжённости проезд в обычных, сходных по качеству электропоездах РЖД и ЦППК обходится пассажирам примерно в 100 рублей."
"Среднегодовая температура воздуха — - 0,2 °C","Среднегодовая температура воздуха — минус 0,2 °C"
