"Первоначально институт был размещен в бывшем доме графа Разумовского, на Гороховом Поле; затем был приобретён дом генерала Апраксина на Арбате, переделка которого под нужды сиротского института обошлась Воспитательному дому в 1 332 369 ₽.","Первоначально институт был размещен в бывшем доме графа Разумовского, на Гороховом Поле; затем был приобретён дом генерала Апраксина на Арбате, переделка которого под нужды сиротского института обошлась Воспитательному дому в 1 332 369 рублей."
"Последняя работа Стадницкого — проекты памятного ₽, плакеты и медали для награждения в память 200-летия Гангутской победы.","Последняя работа Стадницкого — проекты памятного рубля, плакеты и медали для награждения в память 200-летия Гангутской победы."
"Чугунные детали были сделаны на Санкт-Петербургском казенном литейном заводе (фриз, карнизы, архитрав, триглифы, капли, капители, литеры и другие детали) и на петрозаводском Александровском заводе (колонны) более чем за 20 000 ₽, для них были сделаны специальных размеров опоки и разработана особая технология.","Чугунные детали были сделаны на Санкт-Петербургском казенном литейном заводе (фриз, карнизы, архитрав, триглифы, капли, капители, литеры и другие детали) и на петрозаводском Александровском заводе (колонны) более чем за 20 000 рублей, для них были сделаны специальных размеров опоки и разработана особая технология."
"Фильм вышел в мировой прокат 26 июля 2019 года; в России — 8 августа 2019, картина стала лидером российского проката, собрав за первые выходные 516,9 млн ₽.","Фильм вышел в мировой прокат 26 июля 2019 года; в России — 8 августа 2019, картина стала лидером российского проката, собрав за первые выходные 516,9 млн рублей."
"Фильм вышел в мировой прокат 26 июля 2019 года; в России — 8 августа 2019, картина стала лидером российского проката, собрав за первые выходные 516,9 млн ₽.","Фильм вышел в мировой прокат 26 июля 2019 года; в России — 8 августа 2019, картина стала лидером российского проката, собрав за первые выходные 516,9 млн рублей."
"полгода 2 ₽.","полгода 2 рубля."
"После его смерти в 1874 году наследство, насчитывавшее в то время свыше 30 миллионов ₽ отошло жене, Любови Александровне, и детям по 3-4 миллиона каждому.","После его смерти в 1874 году наследство, насчитывавшее в то время свыше 30 миллионов рублей отошло жене, Любови Александровне, и детям по 3-4 миллиона каждому."
"В Одессе создалось общество покровительствующее болгарам, издавшее несколько учебников, составленных иеромонахом Неофитом Рильским, открывшее двенадцать школ в Болгарии по образцу первой, учреждённой в Габрове, для содержания которых собран был капитал около 60 тысяч ₽.","В Одессе создалось общество покровительствующее болгарам, издавшее несколько учебников, составленных иеромонахом Неофитом Рильским, открывшее двенадцать школ в Болгарии по образцу первой, учреждённой в Габрове, для содержания которых собран был капитал около 60 тысяч рублей."
"Априлов завещал также 2000 ₽ серебром автору первой научной истории болгарского народа, причем по его воле душеприказчики должны были в первую очередь обратиться с этим предложением к публицисту-славянофилу Н. В. Савельеву-Ростиславичу (1815—1854).","Априлов завещал также 2000 рублей серебром автору первой научной истории болгарского народа, причем по его воле душеприказчики должны были в первую очередь обратиться с этим предложением к публицисту-славянофилу Н. В. Савельеву-Ростиславичу (1815—1854)."
"Имущество признается амортизируемым если его срок службы > 12 месяцев и его первоначальная стоимость более 100 000 ₽","Имущество признается амортизируемым если его срок службы больше 12 месяцев и его первоначальная стоимость более 100 000 рублей"
"В 1953—1957 гг. премия не присуждалась, а начиная с 1958 года присуждалась раз в 3 года в размере 25 тысяч ₽ (после денежной реформы 1961 года - 2500 ₽).","В 1953—1957 гг. премия не присуждалась, а начиная с 1958 года присуждалась раз в 3 года в размере 25 тысяч рублей (после денежной реформы 1961 года - 2500 рублей)."
"В работе оказывали финансовую поддержку Правительство Чувашской Республики (создатели мюзикла выиграли в 2006 году конкурс грантов Президента Чувашии для творческих проектов профессиональных коллективов, размер гранта составил 1 миллион ₽) и спонсоры.","В работе оказывали финансовую поддержку Правительство Чувашской Республики (создатели мюзикла выиграли в 2006 году конкурс грантов Президента Чувашии для творческих проектов профессиональных коллективов, размер гранта составил 1 миллион рублей) и спонсоры."
"Появление банкнот номиналом 2500 ₽ обусловлено гиперинфляцией начала 1920-х годов.","Появление банкнот номиналом 2500 рублей обусловлено гиперинфляцией начала 1920-х годов."
"Уставный капитал составляет 1 871 583 000 ₽.","Уставный капитал составляет 1 871 583 000 рублей."
"₽ Закавказского комиссариата (боны Закавказского комиссариата, закбоны, первый закавказский ₽) (арм. ռուբլի, азерб. منات, груз. მანეთი) — денежные знаки, выпущенные по решению Закавказского комиссариата и обращавшиеся на территории Грузии, Армении и Азербайджана.","Рубль Закавказского комиссариата (боны Закавказского комиссариата, закбоны, первый закавказский рубль) (арм. ռուբլի, азерб. منات, груз. მანეთი) — денежные знаки, выпущенные по решению Закавказского комиссариата и обращавшиеся на территории Грузии, Армении и Азербайджана."
"После введения новых мер поддержки, финансирование научных исследований увеличилось на 500 000 ₽, что дало старт многим перспективным проектам.", "После введения новых мер поддержки, финансирование научных исследований увеличилось на 500 000 рублями, что дало старт многим перспективным проектам."
"Стоимость недвижимости в Москве за последние два года выросла на несколько миллионов ₽, что сделало её доступной только для обеспеченных слоёв населения.", "Стоимость недвижимости в Москве за последние два года выросла на несколько миллионов рублей, что сделало её доступной только для обеспеченных слоёв населения."
"В 2023 году было выделено 2 млрд ₽ на модернизацию транспортной системы города, что существенно улучшило инфраструктуру.", "В 2023 году было выделено 2 млрд рублей на модернизацию транспортной системы города, что существенно улучшило инфраструктуру."
"По данным отчета, более 50 млн ₽ было потрачено на развитие новых образовательных программ.", "По данным отчета, более 50 млн рублей было потрачено на развитие новых образовательных программ."
"Для создания благоприятных условий работы сотрудники получили премии на общую сумму 300 000 ₽.", "Для создания благоприятных условий работы сотрудники получили премии на общую сумму 300 000 рублей."
"Поддержка малого бизнеса в регионе увеличилась на 2 млн ₽, что способствует развитию предпринимательства.", "Поддержка малого бизнеса в регионе увеличилась на 2 млн рублей, что способствует развитию предпринимательства."
"На реализацию программы по озеленению города было выделено 500 000 ₽, что позволило высадить более тысячи деревьев.", "На реализацию программы по озеленению города было выделено 500 000 рублей, что позволило высадить более тысячи деревьев."
"Новый договор подразумевает выплату 10 млн ₽ в течение пяти лет, что должно покрыть все операционные расходы.", "Новый договор подразумевает выплату 10 млн рублей в течение пяти лет, что должно покрыть все операционные расходы."
"Для улучшения качества связи было выделено 20 млн ₽ на строительство новых вышек.", "Для улучшения качества связи было выделено 20 млн рублей на строительство новых вышек."
"Согласно проекту бюджета, на развитие спортивной инфраструктуры выделено 15 млн ₽.", "Согласно проекту бюджета, на развитие спортивной инфраструктуры выделено 15 млн рублей."
"Платеж за коммунальные услуги в зимний период может достигать 10 000 ₽, что составляет значительную часть расходов семьи.", "Платеж за коммунальные услуги в зимний период может достигать 10 000 рублями, что составляет значительную часть расходов семьи."
"Для ремонта оборудования выделено 1,5 млн ₽, что позволит улучшить производственные мощности завода.", "Для ремонта оборудования выделено 1,5 млн рублями, что позволит улучшить производственные мощности завода."
"В этом году стоимость топлива выросла до 50 ₽ за литр, что увеличило расходы на транспорт.", "В этом году стоимость топлива выросла до 50 рублями за литр, что увеличило расходы на транспорт."
"На проведение выставки выделено 100 000 ₽, что позволит привлечь внимание широкой аудитории.", "На проведение выставки выделено 100 000 рублями, что позволит привлечь внимание широкой аудитории."
"Стоимость технического обслуживания автомобиля составила 25 000 ₽, что оказалось выше планируемого бюджета.", "Стоимость технического обслуживания автомобиля составила 25 000 рублями, что оказалось выше планируемого бюджета."
"Для финансирования малого бизнеса в регионе выделено 500 000 ₽, что позволит создать новые рабочие места.", "Для финансирования малого бизнеса в регионе выделено 500 000 рублями, что позволит создать новые рабочие места."
"Пособие на ребенка составляет 10 000 ₽ в месяц, что позволяет семьям покрывать базовые расходы.", "Пособие на ребенка составляет 10 000 рублями в месяц, что позволяет семьям покрывать базовые расходы."
"Цена на жилье в Москве достигла 200 000 ₽ за квадратный метр, что делает его доступным не для всех.", "Цена на жилье в Москве достигла 200 000 рублями за квадратный метр, что делает его доступным не для всех."
"Стоимость абонемента в спортивный зал составила 5 000 ₽, что подходит большинству студентов.", "Стоимость абонемента в спортивный зал составила 5 000 рублями, что подходит большинству студентов."
"Расходы на корпоративное обучение сотрудников составили 80 000 ₽, что способствовало повышению их квалификации.", "Расходы на корпоративное обучение сотрудников составили 80 000 рублями, что способствовало повышению их квалификации."
"Учреждена в 1959 году в размере 15 000 ₽ (после денежной реформы 1961 года — 1500 ₽).","Учреждена в 1959 году в размере 15 000 рублей (после денежной реформы 1961 года — 1500 рублей)."
"Согласно распоряжению Правительства Российской Федерации вознаграждение за каждую золотую медаль для российских спортсменов составит 4 миллиона ₽, за серебряную — 2,5 млн, за бронзовую — 1,7 млн.","Согласно распоряжению Правительства Российской Федерации вознаграждение за каждую золотую медаль для российских спортсменов составит 4 миллиона рублей, за серебряную — 2,5 млн, за бронзовую — 1,7 млн."
"Пять ₽ Николая I — золотая монета Российской империи регулярного чекана номиналом в пять ₽.","Пять рублей Николая I — золотая монета Российской империи регулярного чекана номиналом в пять рублей."
"Товарищество Санкт-Петербургского (в 1914—1918 гг. Петроградского) вагоностроительного завода осуществляло свою деятельность с 1893 (Устав Высочайше утвержден 3 июля 1893 г.) по 1918 г. Министерством торговли и промышленности Временного правительства 25 апреля 1917 года разрешено увеличить основной капитал Товарищества Петроградского вагоностроительного завода с 11250000 ₽ до 25250000 ₽ посредством выпуска 140000 дополнительных паев на сумму 14000000 ₽ номинальных.","Товарищество Санкт-Петербургского (в 1914—1918 гг. Петроградского) вагоностроительного завода осуществляло свою деятельность с 1893 (Устав Высочайше утвержден 3 июля 1893 г.) по 1918 г. Министерством торговли и промышленности Временного правительства 25 апреля 1917 года разрешено увеличить основной капитал Товарищества Петроградского вагоностроительного завода с 11250000 рублей до 25250000 рублей посредством выпуска 140000 дополнительных паев на сумму 14000000 рублей номинальных."
"Согласно распоряжению Правительства Российской Федерации вознаграждение за каждую золотую медаль для российских спортсменов составит 4 миллиона ₽, за серебряную — 2,5 млн, за бронзовую — 1,7 млн.","Согласно распоряжению Правительства Российской Федерации вознаграждение за каждую золотую медаль для российских спортсменов составит 4 миллиона рублей, за серебряную — 2,5 млн, за бронзовую — 1,7 млн."
"В современной России с 1992 года банкнота 25 ₽ не выпускается.","В современной России с 1992 года банкнота 25 рублей не выпускается."
"В СССР с 1988 года выпускались памятные монеты номиналом 25 ₽ из палладия, в 1991 году — из золота.","В СССР с 1988 года выпускались памятные монеты номиналом 25 рублей из палладия, в 1991 году — из золота."
"Помимо этого, Фонд использует для финансирования региональных программ капитального ремонта и переселения граждан из аварийного жилищного фонда доходы от размещения временно свободных средств — 11,7 млрд ₽ уже направлено в регионы.","Помимо этого, Фонд использует для финансирования региональных программ капитального ремонта и переселения граждан из аварийного жилищного фонда доходы от размещения временно свободных средств — 11,7 млрд рублей уже направлено в регионы."
"Были выпущены боны номиналом 1, 3, 5, 10, 25 ₽.","Были выпущены боны номиналом 1, 3, 5, 10, 25 рублей."
"В 2021 году оборот (оборот от продаж с учётом НДС за вычетом возвратов, отмененных заказов и скидок) маркетплейса составил 29 млрд ₽.","В 2021 году оборот (оборот от продаж с учётом НДС за вычетом возвратов, отмененных заказов и скидок) маркетплейса составил 29 млрд рублей."
"Медаль изготовлялась из золота на цепочке того же металла и стоила сравнительно дорого по тем временам — 67 ₽ и 89 копеек.","Медаль изготовлялась из золота на цепочке того же металла и стоила сравнительно дорого по тем временам — 67 рублей и 89 копеек."
"Последняя работа Стадницкого — проекты памятного ₽, плакеты и медали для награждения в память 200-летия Гангутской победы.","Последняя работа Стадницкого — проекты памятного рубля, плакеты и медали для награждения в память 200-летия Гангутской победы."
"Размер премии — 10 тысяч ₽, после денежной реформы 1961 года — тысяча ₽.","Размер премии — 10 тысяч рублей, после денежной реформы 1961 года — тысяча рублей."
"Победителем первого сезона и обладателем 5 миллионов ₽ стал Terry (Олег Терновой из Ташкента, Узбекистан).","Победителем первого сезона и обладателем 5 миллионов рублей стал Terry (Олег Терновой из Ташкента, Узбекистан)."
"Согласно распоряжению Правительства Российской Федерации вознаграждение за каждую золотую медаль для российских спортсменов составит 4 миллиона ₽, за серебряную — 2,5 млн, за бронзовую — 1,7 млн.","Согласно распоряжению Правительства Российской Федерации вознаграждение за каждую золотую медаль для российских спортсменов составит 4 миллиона рублей, за серебряную — 2,5 млн, за бронзовую — 1,7 млн."
"Стоимость строительства составит 98 миллиардов ¥ (около 450 миллиардов ₽ в ценах 2011 года).","Стоимость строительства составит 98 миллиардов юаней (около 450 миллиардов рублей в ценах 2011 года)."
"К этому времени по ДВР ходили различные суррогатные денежные знаки, имевшие различный курс взаимного обмена, например, сибирские ₽, керенки, денежные знаки соседних государств, такие как японские иены.","К этому времени по ДВР ходили различные суррогатные денежные знаки, имевшие различный курс взаимного обмена, например, сибирские рубли, керенки, денежные знаки соседних государств, такие как японские иены."
"Стоимость разработки и создания первого лётного образца определена в размере 57,56 миллиарда ₽.","Стоимость разработки и создания первого лётного образца определена в размере 57,56 миллиарда рублей."
"Первоначально институт был размещен в бывшем доме графа Разумовского, на Гороховом Поле; затем был приобретён дом генерала Апраксина на Арбате, переделка которого под нужды сиротского института обошлась Воспитательному дому в 1 332 369 ₽.","Первоначально институт был размещен в бывшем доме графа Разумовского, на Гороховом Поле; затем был приобретён дом генерала Апраксина на Арбате, переделка которого под нужды сиротского института обошлась Воспитательному дому в 1 332 369 рублей."
"Последняя работа Стадницкого — проекты памятного ₽, плакеты и медали для награждения в память 200-летия Гангутской победы.","Последняя работа Стадницкого — проекты памятного рубля, плакеты и медали для награждения в память 200-летия Гангутской победы."
"Чугунные детали были сделаны на Санкт-Петербургском казенном литейном заводе (фриз, карнизы, архитрав, триглифы, капли, капители, литеры и другие детали) и на петрозаводском Александровском заводе (колонны) более чем за 20 000 ₽, для них были сделаны специальных размеров опоки и разработана особая технология.","Чугунные детали были сделаны на Санкт-Петербургском казенном литейном заводе (фриз, карнизы, архитрав, триглифы, капли, капители, литеры и другие детали) и на петрозаводском Александровском заводе (колонны) более чем за 20 000 рублей, для них были сделаны специальных размеров опоки и разработана особая технология."
"Фильм вышел в мировой прокат 26 июля 2019 года; в России — 8 августа 2019, картина стала лидером российского проката, собрав за первые выходные 516,9 млн ₽.","Фильм вышел в мировой прокат 26 июля 2019 года; в России — 8 августа 2019, картина стала лидером российского проката, собрав за первые выходные 516,9 млн рублей."
"Фильм вышел в мировой прокат 26 июля 2019 года; в России — 8 августа 2019, картина стала лидером российского проката, собрав за первые выходные 516,9 млн ₽.","Фильм вышел в мировой прокат 26 июля 2019 года; в России — 8 августа 2019, картина стала лидером российского проката, собрав за первые выходные 516,9 млн рублей."
"полгода 2 ₽.","полгода 2 рубля."
"После его смерти в 1874 году наследство, насчитывавшее в то время свыше 30 миллионов ₽ отошло жене, Любови Александровне, и детям по 3-4 миллиона каждому.","После его смерти в 1874 году наследство, насчитывавшее в то время свыше 30 миллионов рублей отошло жене, Любови Александровне, и детям по 3-4 миллиона каждому."
"В Одессе создалось общество покровительствующее болгарам, издавшее несколько учебников, составленных иеромонахом Неофитом Рильским, открывшее двенадцать школ в Болгарии по образцу первой, учреждённой в Габрове, для содержания которых собран был капитал около 60 тысяч ₽.","В Одессе создалось общество покровительствующее болгарам, издавшее несколько учебников, составленных иеромонахом Неофитом Рильским, открывшее двенадцать школ в Болгарии по образцу первой, учреждённой в Габрове, для содержания которых собран был капитал около 60 тысяч рублей."
"Априлов завещал также 2000 ₽ серебром автору первой научной истории болгарского народа, причем по его воле душеприказчики должны были в первую очередь обратиться с этим предложением к публицисту-славянофилу Н. В. Савельеву-Ростиславичу (1815—1854).","Априлов завещал также 2000 рублей серебром автору первой научной истории болгарского народа, причем по его воле душеприказчики должны были в первую очередь обратиться с этим предложением к публицисту-славянофилу Н. В. Савельеву-Ростиславичу (1815—1854)."
"Имущество признается амортизируемым если его срок службы > 12 месяцев и его первоначальная стоимость более 100 000 ₽","Имущество признается амортизируемым если его срок службы больше 12 месяцев и его первоначальная стоимость более 100 000 рублей"
"В 1953—1957 гг. премия не присуждалась, а начиная с 1958 года присуждалась раз в 3 года в размере 25 тысяч ₽ (после денежной реформы 1961 года - 2500 ₽).","В 1953—1957 гг. премия не присуждалась, а начиная с 1958 года присуждалась раз в 3 года в размере 25 тысяч рублей (после денежной реформы 1961 года - 2500 рублей)."
"В работе оказывали финансовую поддержку Правительство Чувашской Республики (создатели мюзикла выиграли в 2006 году конкурс грантов Президента Чувашии для творческих проектов профессиональных коллективов, размер гранта составил 1 миллион ₽) и спонсоры.","В работе оказывали финансовую поддержку Правительство Чувашской Республики (создатели мюзикла выиграли в 2006 году конкурс грантов Президента Чувашии для творческих проектов профессиональных коллективов, размер гранта составил 1 миллион рублей) и спонсоры."
"Появление банкнот номиналом 2500 ₽ обусловлено гиперинфляцией начала 1920-х годов.","Появление банкнот номиналом 2500 рублей обусловлено гиперинфляцией начала 1920-х годов."
