question,answer
"Строительство «Новых берегов» обошлось более чем в 208 млн ₽, деньги жертвовали государство и бизнесмены, в том числе «Сбербанк», Роман Абрамович, Владимир Потанин, фонды Константина Малофеева и Геннадия Тимченко, а также за счёт президентских грантов.","Строительство «Новых берегов» обошлось более чем в 208 млн рублей, деньги жертвовали государство и бизнесмены, в том числе «Сбербанк», Роман Абрамович, Владимир Потанин, фонды Константина Малофеева и Геннадия Тимченко, а также за счёт президентских грантов."
"Сумма декларированного дохода за 2020 год составила 2 млн 933 тыс. ₽, её супруга — 446 тыс. ₽.","Сумма декларированного дохода за 2020 год составила 2 млн 933 тыс. рублей, её супруга — 446 тыс. рублей."
"Обязательным для обеих дисциплин снаряжением является рюкзак (или его эквивалент), запас воды на старте (от 0,5 до 1,5 л), головной убор, телефон с заряженной батареей, № телефона экстренной помощи и промежуточного судьи, солнцезащитные очки и солнцезащитный крем.","Обязательным для обеих дисциплин снаряжением является рюкзак (или его эквивалент), запас воды на старте (от 0,5 до 1,5 л), головной убор, телефон с заряженной батареей, номер телефона экстренной помощи и промежуточного судьи, солнцезащитные очки и солнцезащитный крем."
"В 1976 году показал высокие производственные результаты, намолотив 10351 центнер зерна, что на 168 % больше взятых обязательств.","В 1976 году показал высокие производственные результаты, намолотив 10351 центнер зерна, что на 168 процентов больше взятых обязательств."
"Летом 2020 открылся после трёхлетней радикальной модернизации, стоимостью 4 млрд $, — самый устаревший аэропорт Нью-Йорка стал самым продвинутым в стране («аэропорт XXI века»).","Летом 2020 открылся после трёхлетней радикальной модернизации, стоимостью 4 млрд долларов, — самый устаревший аэропорт Нью-Йорка стал самым продвинутым в стране («аэропорт XXI века»)."
"Полуоборот — прыжок с вращением тела вокруг поперечной оси на 180 °;","Полуоборот — прыжок с вращением тела вокруг поперечной оси на 180 градусов;"
"Оборот — прыжок с вращением тела вокруг поперечной оси на 360 °, бывают также прыжки в 1,5, 2, 2,5, 3, 3,5 и 4,5 оборота;","Оборот — прыжок с вращением тела вокруг поперечной оси на 360 градусов, бывают также прыжки в 1,5, 2, 2,5, 3, 3,5 и 4,5 оборота;"
"Полувинт — прыжок с вращением тела вокруг продольной оси на 180 °;","Полувинт — прыжок с вращением тела вокруг продольной оси на 180 градусов;"
"Винт — прыжок с вращением тела вокруг продольной оси на 360 °, бывают также прыжки с 1,5, 2, 2,5 и 3 винтами.","Винт — прыжок с вращением тела вокруг продольной оси на 360 градусов, бывают также прыжки с 1,5, 2, 2,5 и 3 винтами."
"Согласно материалам архивно-следственных дел № 0046 и № 1762 в ходе обысков у В. В. Крюкова и Л. А. Руслановой были изъяты: автомобиль «Horch 951А», два «Мерседеса», «Ауди», двести восемь бриллиантов, а также изумруды, сапфиры, жемчуг, сто семь килограммов изделий из серебра, сто тридцать две картины русских художников Шишкина, Репина, Серова, Сурикова, Васнецова, Верещагина, Левитана, Врубеля, Маковского, Айвазовского и других, тридцать пять старинных ковров, старинные гобелены, много антикварных сервизов, меха, скульптуры из бронзы и мрамора, декоративные вазы, большое число книг, семьсот тысяч ₽ наличными и другое.","Согласно материалам архивно-следственных дел № 0046 и № 1762 в ходе обысков у В. В. Крюкова и Л. А. Руслановой были изъяты: автомобиль «Horch 951А», два «Мерседеса», «Ауди», двести восемь бриллиантов, а также изумруды, сапфиры, жемчуг, сто семь килограммов изделий из серебра, сто тридцать две картины русских художников Шишкина, Репина, Серова, Сурикова, Васнецова, Верещагина, Левитана, Врубеля, Маковского, Айвазовского и других, тридцать пять старинных ковров, старинные гобелены, много антикварных сервизов, меха, скульптуры из бронзы и мрамора, декоративные вазы, большое число книг, семьсот тысяч рублей наличными и другое."
"По состоянию на август 2023 года его собственный капитал оценивался в 13,5 миллиардов $ США.","По состоянию на август 2023 года его собственный капитал оценивался в 13,5 миллиардов долларов США."
"По данным Forbes, состояние Офера составляет 13,5 миллиардов $.","По данным Forbes, состояние Офера составляет 13,5 миллиардов долларов."
"В марте 2022 года компания Israel Corp, контролируемая Иданом Офером, продала 20,17 миллиона акций по цене 10,90 $ за акцию на общую сумму 220 миллионов $.","В марте 2022 года компания Israel Corp, контролируемая Иданом Офером, продала 20,17 миллиона акций по цене 10,90 доллара за акцию на общую сумму 220 миллионов долларов."
"Через свой фонд Офер в 2021 году пожертвовал 15 миллионов $ Израильской национальной библиотеке.","Через свой фонд Офер в 2021 году пожертвовал 15 миллионов долларов Израильской национальной библиотеке."
"Идан Офер пожертвовал 20 миллионов $ для Гарвардского университета.","Идан Офер пожертвовал 20 миллионов долларов для Гарвардского университета."
"-угольника, пересекающихся в одной точке, не являющейся его вершиной или центром, =:","-угольника, пересекающихся в одной точке, не являющейся его вершиной или центром, равно:"
"Существуют лишь три исключения: данное число =","Существуют лишь три исключения: данное число равно"
"-угольника =","-угольника равно"
"-угольник делят его диагонали, =","-угольник делят его диагонали, равно"
"Лишь в 1796 году Карлу Фридриху Гауссу удалось доказать, что если число сторон правильного многоугольника = простому числу Ферма, то его можно построить при помощи циркуля и линейки.","Лишь в 1796 году Карлу Фридриху Гауссу удалось доказать, что если число сторон правильного многоугольника равно простому числу Ферма, то его можно построить при помощи циркуля и линейки."
"Из результата Гаусса мгновенно следовало, что правильный многоугольник возможно построить, если число его сторон =","Из результата Гаусса мгновенно следовало, что правильный многоугольник возможно построить, если число его сторон равно"
"Продажи комплектующих и моделей совершались на 500 млн $ в год, действовали 3000 курсов по всему США.","Продажи комплектующих и моделей совершались на 500 млн долларов в год, действовали 3000 курсов по всему США."
"Соединение секций может быть склеено, а соединение токопроводящих дорожек спаяно, однако всё = нельзя достичь такого же качества трассы, как на хороших трассах с направляющей дорожкой.","Соединение секций может быть склеено, а соединение токопроводящих дорожек спаяно, однако всё равно нельзя достичь такого же качества трассы, как на хороших трассах с направляющей дорожкой."
"Для организации единого пространства на всех этажах музея была использована единая базовая цветовая γ, позволившая объединить все многообразие природных объектов в визуально единую композицию.","Для организации единого пространства на всех этажах музея была использована единая базовая цветовая гамма, позволившая объединить все многообразие природных объектов в визуально единую композицию."
"Герои, сменившие фамилию после присвоения звания, приводятся в списках дважды, при этом строка с новой фамилией выделяется бежевым цветом и не имеет №.","Герои, сменившие фамилию после присвоения звания, приводятся в списках дважды, при этом строка с новой фамилией выделяется бежевым цветом и не имеет номера."
"Начиная с этого матча он занял место первого №, вытеснив из числа основных игроков Луиса Марина.","Начиная с этого матча он занял место первого номера, вытеснив из числа основных игроков Луиса Марина."
"Заводской №: 375.","Заводской номер: 375."
"В целом, количество таких «пересадок» составляет около двадцати % творческого наследия композитора.","В целом, количество таких «пересадок» составляет около двадцати процентов творческого наследия композитора."
"По мнению Альберта Швейцера, композитор видимо заранее решил, что созданный «по случаю» музыкальный материал кантат после их исполнения не должен пропасть даром, а их «торжественно-радостный» характер как нельзя кстати подходит к рождественской музыке: «Можно почти с полной уверенностью утверждать, что Бах создал „Рождественскую ораторию“, чтобы не пропали лучшие № из „Геркулеса на распутье“ (№ 213) и „Музыкальной драмы в честь королевы“: „Гремите, литавры, звучите, трубы“ (№ 214)».","По мнению Альберта Швейцера, композитор видимо заранее решил, что созданный «по случаю» музыкальный материал кантат после их исполнения не должен пропасть даром, а их «торжественно-радостный» характер как нельзя кстати подходит к рождественской музыке: «Можно почти с полной уверенностью утверждать, что Бах создал „Рождественскую ораторию“, чтобы не пропали лучшие номера из „Геркулеса на распутье“ (№ 213) и „Музыкальной драмы в честь королевы“: „Гремите, литавры, звучите, трубы“ (№ 214)»."
"Большие вступительные хоры и почти все крупные сольные № оратории заимствованы из ранее написанных им светских кантат.","Большие вступительные хоры и почти все крупные сольные номера оратории заимствованы из ранее написанных им светских кантат."
"Так, вновь созданы следующие №: Sinfonia (№ 10), ария альта (31), три хора (№ 21, 26, 45), все 16 речитативов Евангелиста и 8 речитативов accompagnato (аккомпанированных), заново гармонизированы мелодии всех 14 хоралов.","Так, вновь созданы следующие номера: Sinfonia (№ 10), ария альта (31), три хора (№ 21, 26, 45), все 16 речитативов Евангелиста и 8 речитативов accompagnato (аккомпанированных), заново гармонизированы мелодии всех 14 хоралов."
"В оригинале партитуры созданные заново № от заимствованных выделяются аккуратным почерком, так как это копии, а остальное написано настолько поспешно, что в некоторых местах является трудноразличимым.","В оригинале партитуры созданные заново номера от заимствованных выделяются аккуратным почерком, так как это копии, а остальное написано настолько поспешно, что в некоторых местах является трудноразличимым."
"Она состоит из 6 кантат (частей) длительностью около 30 минут каждая, включающих в себя 64 №, что в этом отношении значительно превышает другие сочинения композитора в этом жанре.","Она состоит из 6 кантат (частей) длительностью около 30 минут каждая, включающих в себя 64 номера, что в этом отношении значительно превышает другие сочинения композитора в этом жанре."
"В Европе, в Испании и на юге Франции, произрастает веерная пальма хамеропс приземистый (Chamaerops humilis), которая выдерживает морозы до −12 ° Цельсия, а также на юге материковой Греции и Крите встречаются рощи перистой критской финиковой пальмы (Phoenix theophrastii).","В Европе, в Испании и на юге Франции, произрастает веерная пальма хамеропс приземистый (Chamaerops humilis), которая выдерживает морозы до −12 градусов Цельсия, а также на юге материковой Греции и Крите встречаются рощи перистой критской финиковой пальмы (Phoenix theophrastii)."
"В июле 2008 года страны подписали соглашение о создании фонда для привлечения инвестиций в энергетический сектор Мозамбика на сумму 124 миллиона $ США.","В июле 2008 года страны подписали соглашение о создании фонда для привлечения инвестиций в энергетический сектор Мозамбика на сумму 124 миллиона долларов США."
"Кроме того, Португалия аннулировала оставшуюся задолженность Мозамбика в размере 393,4 миллиона $ США, которая образовалась с момента обретения независимости этой страной и до 2005 года.","Кроме того, Португалия аннулировала оставшуюся задолженность Мозамбика в размере 393,4 миллиона долларов США, которая образовалась с момента обретения независимости этой страной и до 2005 года."
"В 2018 году Мозамбик поставил товаров в Португалию на сумму 41,08 миллионов $ США, в экспорт португальских товаров в Мозамбик был осуществлен на сумму 230,42 миллионов $ США.","В 2018 году Мозамбик поставил товаров в Португалию на сумму 41,08 миллионов долларов США, в экспорт португальских товаров в Мозамбик был осуществлен на сумму 230,42 миллионов долларов США."
"Обычно на выпекание уходит от 40 мин до 1,5 часа при температуре около 200 °.","Обычно на выпекание уходит от 40 мин до 1,5 часа при температуре около 200 градусов."
"Стефан, вместе с Петером Люксеном, перешёл в «Пари Сен-Жермен», заплативший за трансфер двух футболистов 23 млн $.","Стефан, вместе с Петером Люксеном, перешёл в «Пари Сен-Жермен», заплативший за трансфер двух футболистов 23 млн долларов."
"Газета создана на базе делового одноимённого еженедельника, первый № которого вышел в свет 31 мая 1992 года.","Газета создана на базе делового одноимённого еженедельника, первый номер которого вышел в свет 31 мая 1992 года."
"С 15 мая 2017 года директор в футбольный школа «Динамо» при ПФК «Динамо-+».","С 15 мая 2017 года директор в футбольный школа «Динамо» при ПФК «Динамо-плюс»."
"Стоимость продукта — 130 $.","Стоимость продукта — 130 долларов."
"В 2021 году стал чемпионом мира на турнире The International 10, выиграв более 3,5 миллионов $.","В 2021 году стал чемпионом мира на турнире The International 10, выиграв более 3,5 миллионов долларов."
"В 2021 году команда выиграла чемпионат мира по Dota 2 — The International 10, заработав более 18 млн $.","В 2021 году команда выиграла чемпионат мира по Dota 2 — The International 10, заработав более 18 млн долларов."
"30 октября 2023 года команда во второй раз выиграла чемпионат мира The International 12 и получила 1,5 млн $.","30 октября 2023 года команда во второй раз выиграла чемпионат мира The International 12 и получила 1,5 млн долларов."
"Он был частным детективом с 1968 года, и его обычная плата составляет 200 $ в день + издержки.","Он был частным детективом с 1968 года, и его обычная плата составляет 200 долларов в день плюс издержки."
"200 $ на начало сериала в сентябре 1974 года были эквивалентом 986 $ с учётом переиндексации на март 2018 года.","200 долларов на начало сериала в сентябре 1974 года были эквивалентом 986 долларов с учётом переиндексации на март 2018 года."
"Номерной знак машины был 853 OKG, хотя в некоторых ранних сериях на нём был № 835 OKG.","Номерной знак машины был 853 OKG, хотя в некоторых ранних сериях на нём был номер 835 OKG."
"Согласно источникам, NBC и Universal утверждали, что шоу образовало дефицит в несколько миллионов $, ошеломляющую сумму для ночного шоу в то время, хотя Гарнер и его продюсерская группа Cherokee Productions утверждали, что шоу принесло прибыль.","Согласно источникам, NBC и Universal утверждали, что шоу образовало дефицит в несколько миллионов долларов, ошеломляющую сумму для ночного шоу в то время, хотя Гарнер и его продюсерская группа Cherokee Productions утверждали, что шоу принесло прибыль."
"Гарнер рассказал Джонни Карсону в «The Tonight Show» историю о том, что студия однажды заплатила плотнику 700 $ за сооружение транспортировочных ящиков для перестрелки на лодочном причале, хотя на доке они уже стояли.","Гарнер рассказал Джонни Карсону в «The Tonight Show» историю о том, что студия однажды заплатила плотнику 700 долларов за сооружение транспортировочных ящиков для перестрелки на лодочном причале, хотя на доке они уже стояли."
"В 2004 году принял участие в телеигре «Угадай мелодию» вместе с Гариком Мартиросяном и Полиной Сибагатуллиной выиграл 3 тура, однако в суперигре проиграл 19 149 ₽.","В 2004 году принял участие в телеигре «Угадай мелодию» вместе с Гариком Мартиросяном и Полиной Сибагатуллиной выиграл 3 тура, однако в суперигре проиграл 19 149 рублей."
"1922 г, 24 марта — выступление в печати с призывом к американским рабочим «отдать последний $», поддержать Советскую Россию, в которой из-за страшной засухи ряд районов был охвачен голодом.","1922 г, 24 марта — выступление в печати с призывом к американским рабочим «отдать последний доллар», поддержать Советскую Россию, в которой из-за страшной засухи ряд районов был охвачен голодом."
"Благодаря фонду, с 8 ноября 1999 года в здании был проведен капитальный ремонт, стоивший один миллион $, который закончился 26 июля 2000 года.","Благодаря фонду, с 8 ноября 1999 года в здании был проведен капитальный ремонт, стоивший один миллион долларов, который закончился 26 июля 2000 года."
"Действует в соответствии с Государственной программой «Информационный город» на 2012—2018 годы и распоряжается бюджетом порядка 1 млрд $ в год — это один из крупнейших показателей по мегаполисам мира.","Действует в соответствии с Государственной программой «Информационный город» на 2012—2018 годы и распоряжается бюджетом порядка 1 млрд долларов в год — это один из крупнейших показателей по мегаполисам мира."
"По сюжету фильма Анатолий Шмель и Илья Огурцов оказываются единственными журналистами, согласившимися снять фильм при скромном бюджете в 40 000 ₽.","По сюжету фильма Анатолий Шмель и Илья Огурцов оказываются единственными журналистами, согласившимися снять фильм при скромном бюджете в 40 000 рублей."
"Закон об авторском праве 1976 года — срок авторского права составляет всю жизнь автора + 50 лет (для компаний 75 лет);","Закон об авторском праве 1976 года — срок авторского права составляет всю жизнь автора плюс 50 лет (для компаний 75 лет);"
"За данные о Мигеле Тревиньо США готовы были заплатить 5 млн $.","За данные о Мигеле Тревиньо США готовы были заплатить 5 млн долларов."
"Блэки устраивает их на машиностроительный завод своего друга Мэнледера (Ллойд Корриган), однако вскоре один из заключённых Дули Уотсон (Эрик Рольф) сбегает, чтобы разыскать похищенные им 60 тысяч $.","Блэки устраивает их на машиностроительный завод своего друга Мэнледера (Ллойд Корриган), однако вскоре один из заключённых Дули Уотсон (Эрик Рольф) сбегает, чтобы разыскать похищенные им 60 тысяч долларов."
"Фаррадей предполагает, что Дули пошёл забрать 60 000 $, которые он похитил перед тем, как оказаться в тюрьме.","Фаррадей предполагает, что Дули пошёл забрать 60 000 долларов, которые он похитил перед тем, как оказаться в тюрьме."
"Тем временем после ночного отсутствия Дули приходит к себе домой с 60 000 $.","Тем временем после ночного отсутствия Дули приходит к себе домой с 60 000 долларов."
"В частности, в этой картине «с его стороны можно увидеть многочисленные случаи рукоприкладства, ложные признания, трату времени полиции, выдачу себя за офицера полиции, взлом сейфа и кражу 60 000 $ (из хранилища улик полиции!), вандализм (он портит хозяйственный лифт в многоквартирном доме, после того как воспользовался им для побега) и пытки (он вывешивает преступника из окна 14-го этажа с целью выбить из него признание).","В частности, в этой картине «с его стороны можно увидеть многочисленные случаи рукоприкладства, ложные признания, трату времени полиции, выдачу себя за офицера полиции, взлом сейфа и кражу 60 000 долларов (из хранилища улик полиции!), вандализм (он портит хозяйственный лифт в многоквартирном доме, после того как воспользовался им для побега) и пытки (он вывешивает преступника из окна 14-го этажа с целью выбить из него признание)."
"По данным переписи 2020 года, средний годичный доход домохозяйства составляет 39 588 $, что на 35,9 % ниже среднего уровня по округу и на 23,92 % ниже среднего по штату.","По данным переписи 2020 года, средний годичный доход домохозяйства составляет 39 588 долларов, что на 35,9 % ниже среднего уровня по округу и на 23,92 % ниже среднего по штату."
"16 августа 2017 года Верховный суд Дагестана приговорил подсудимого по делу об убийстве братьев Нурбагандовых Азиза Джамалудинова к 17 годам лишения свободы в колонии строгого режима и штрафу в 100 тысяч ₽, а также двум годам ограничения свободы.","16 августа 2017 года Верховный суд Дагестана приговорил подсудимого по делу об убийстве братьев Нурбагандовых Азиза Джамалудинова к 17 годам лишения свободы в колонии строгого режима и штрафу в 100 тысяч рублей, а также двум годам ограничения свободы."
"Услуги оплачиваются посредством отправки SMS с определённым кодом на № с повышенным тарифом, а также с помощью различных систем онлайн-платежей.","Услуги оплачиваются посредством отправки SMS с определённым кодом на номер с повышенным тарифом, а также с помощью различных систем онлайн-платежей."
"Представившись ищущему романтических отношений человеку потенциальным партнёром, злоумышленник сначала входит к нему в доверие, а затем под вымышленными предлогами просит его добровольно посылать деньги, № банковских счетов, кредитных карт либо информацию, необходимую для кражи идентичности (№ паспортов, национальные идентификационные № и т. д.).","Представившись ищущему романтических отношений человеку потенциальным партнёром, злоумышленник сначала входит к нему в доверие, а затем под вымышленными предлогами просит его добровольно посылать деньги, номера банковских счетов, кредитных карт либо информацию, необходимую для кражи идентичности (номера паспортов, национальные идентификационные номера и т. д.)."
"Количество фальшивых анкет исчисляется уже десятками миллионов, и сами хозяева сайтов пытаются оправдать это якобы «происками конкурентов», однако, учитывая то, что для активации каждой анкеты на сайтах знакомств давно уже требуется отдельный мобильный телефонный №, совершенно понятно, что никто, кроме самих хозяев сайтов, не может создавать миллионы фальшивых анкет.","Количество фальшивых анкет исчисляется уже десятками миллионов, и сами хозяева сайтов пытаются оправдать это якобы «происками конкурентов», однако, учитывая то, что для активации каждой анкеты на сайтах знакомств давно уже требуется отдельный мобильный телефонный номер, совершенно понятно, что никто, кроме самих хозяев сайтов, не может создавать миллионы фальшивых анкет."
