question,answer
"Полный заказ составляет общую сумму в 27 000 000 ₽.","Полный заказ составляет общую сумму в 27 000 000 рублей."
"К 7 марта 1917 года должно быть изготовлено не менее 10 % всей поставки (то есть 150 автомашин).","К 7 марта 1917 года должно быть изготовлено не менее 10 процентов всей поставки (то есть 150 автомашин)."
"Ссуда выдаётся при подписании договора в размере 10 % стоимости заказа (в размере 2 миллионов 700 тысяч ₽).","Ссуда выдаётся при подписании договора в размере 10 процентов стоимости заказа (в размере 2 миллионов 700 тысяч рублей)."
"Однако стоимость машины, содержавшей большое количество деталей из цветных металлов и изготавливавшейся кустарными методами, была непомерно велика: в 1927/28 годах себестоимость АМО-Ф-15 составляла 8500 ₽, в то время как автомобиль Ford в агрегатах с доставкой в страну стоил 800—900 ₽.","Однако стоимость машины, содержавшей большое количество деталей из цветных металлов и изготавливавшейся кустарными методами, была непомерно велика: в 1927/28 годах себестоимость АМО-Ф-15 составляла 8500 рублей, в то время как автомобиль Ford в агрегатах с доставкой в страну стоил 800—900 рублей."
"Выручка от реализации за 2013 год составила 1 млрд 605 млн ₽, что на 32 % меньше показателей 2012 года.","Выручка от реализации за 2013 год составила 1 млрд 605 млн рублей, что на 32 % меньше показателей 2012 года."
"Себестоимость продаж в сравнении с аналогичным показателем 2012 года уменьшилась на 37 % и составила 2 млрд 358 млн ₽.","Себестоимость продаж в сравнении с аналогичным показателем 2012 года уменьшилась на 37 % и составила 2 млрд 358 млн рублей."
"Собственный капитал АМО ЗИЛ оставался отрицательной величиной, а наличие убытка, полученного от производственно-хозяйственной деятельности в 2013 году, уменьшило его на 1 294 077 ₽.","Собственный капитал АМО ЗИЛ оставался отрицательной величиной, а наличие убытка, полученного от производственно-хозяйственной деятельности в 2013 году, уменьшило его на 1 294 077 рублей."
"Общая задолженность по обязательствам предприятия за 2013 год увеличилась на 4 548 672 ₽.","Общая задолженность по обязательствам предприятия за 2013 год увеличилась на 4 548 672 рубля."
"В связи со сложным финансовым положением на предприятии и невозможностью исполнить свои обязательства перед Департаментом науки промышленной политики и предпринимательства г. Москвы было принято решение предоставить АМО ЗИЛ отсрочку погашения задолженности, зафиксированной по состоянию на 11 декабря 2013 года на общую сумму 5 625 735 ₽, согласно Распоряжению Правительства Москвы от 25.12.2013 г. № 761-РП «О реструктуризации обязательств открытого акционерного московского общества „Завод имени И. А. Лихачёва“».","В связи со сложным финансовым положением на предприятии и невозможностью исполнить свои обязательства перед Департаментом науки промышленной политики и предпринимательства г. Москвы было принято решение предоставить АМО ЗИЛ отсрочку погашения задолженности, зафиксированной по состоянию на 11 декабря 2013 года на общую сумму 5 625 735 рублей, согласно Распоряжению Правительства Москвы от 25.12.2013 г. № 761-РП «О реструктуризации обязательств открытого акционерного московского общества „Завод имени И. А. Лихачёва“»."
"В соответствии с учётной политикой предприятия начисление % происходит ежемесячно.","В соответствии с учётной политикой предприятия начисление процентов происходит ежемесячно."
"Весной 2014 года петербургская «Группа ЛСР» приобрела права на застройку северной части бывшей территории ЗИЛа за 28 млрд ₽.","Весной 2014 года петербургская «Группа ЛСР» приобрела права на застройку северной части бывшей территории ЗИЛа за 28 млрд рублей."
"В течение недели в эфир несколько раз в день (ежедневно и только в сезоне от ТНТ) выходят «Дневники Звёздного дома» (трансляция велась с 30-ти камер) и раз в неделю (обычно вечером в пятницу или субботу, в начале 1 сезона, а также в 7 и 11 сезонах — в воскресенье) — отчётный концерт, где ребята показывали №, подготовленные ими в течение недели.","В течение недели в эфир несколько раз в день (ежедневно и только в сезоне от ТНТ) выходят «Дневники Звёздного дома» (трансляция велась с 30-ти камер) и раз в неделю (обычно вечером в пятницу или субботу, в начале 1 сезона, а также в 7 и 11 сезонах — в воскресенье) — отчётный концерт, где ребята показывали номера, подготовленные ими в течение недели."
"Судьба претендентов решалась во время отчётных концертов, по окончании которых они исполняли сольные №.","Судьба претендентов решалась во время отчётных концертов, по окончании которых они исполняли сольные номера."
"Правда, были прецеденты, когда выбывающего участника оставлял в проекте художественный руководитель или музыкальный продюсер путём использования права вето: в 4-м сезоне Игорь Крутой наложил вето на уход Ирины Дубцовой; в 5-м Алла Пугачёва спасла Михаила Мироненко (который всё = выбыл в последующих выпусках), Игорь Матвиенко — Мигеля, а Максим Фадеев — Руслана Масюкова; в 6-м Виктор Дробыш воспрепятствовал уходу Прохора Шаляпина, а Юрий Аксюта на правах организатора оставил Викторию Колесникову (после также выбывшую); в 7-м Валерий Меладзе спас впоследствии выбывшую Наталью Тумшевиц, Константин Меладзе — Сергея Ашихмина, а Лариса Синельщикова на правах организатора оставила Риту Дакоту; в 11-м Сергей Жуков наложил вето на уход Дарьи Кочневой.","Правда, были прецеденты, когда выбывающего участника оставлял в проекте художественный руководитель или музыкальный продюсер путём использования права вето: в 4-м сезоне Игорь Крутой наложил вето на уход Ирины Дубцовой; в 5-м Алла Пугачёва спасла Михаила Мироненко (который всё равно выбыл в последующих выпусках), Игорь Матвиенко — Мигеля, а Максим Фадеев — Руслана Масюкова; в 6-м Виктор Дробыш воспрепятствовал уходу Прохора Шаляпина, а Юрий Аксюта на правах организатора оставил Викторию Колесникову (после также выбывшую); в 7-м Валерий Меладзе спас впоследствии выбывшую Наталью Тумшевиц, Константин Меладзе — Сергея Ашихмина, а Лариса Синельщикова на правах организатора оставила Риту Дакоту; в 11-м Сергей Жуков наложил вето на уход Дарьи Кочневой."
"По её воспоминаниям, в «звездном доме» у неё крали концертные наряды и деньги, а во время гастрольного тура организаторы не заботились о быте «фабрикантов»: «В некоторых гостиницах условия были просто ужасающие: падали унитазы, не было горячей воды, прокуренные №.","По её воспоминаниям, в «звездном доме» у неё крали концертные наряды и деньги, а во время гастрольного тура организаторы не заботились о быте «фабрикантов»: «В некоторых гостиницах условия были просто ужасающие: падали унитазы, не было горячей воды, прокуренные номера."
"Разорвать контракт можно было, только выплатив организаторам 250 тысяч $, но Ольге удалось уговорить Дробыша отпустить её без штрафа.","Разорвать контракт можно было, только выплатив организаторам 250 тысяч долларов, но Ольге удалось уговорить Дробыша отпустить её без штрафа."
"В 1399 году, после поражения Витовта в битве на Ворскле, чтобы избежать разграбления, Киев выплатил откуп Тимуру-Кутлуку 3 тысячи литовских ₽.","В 1399 году, после поражения Витовта в битве на Ворскле, чтобы избежать разграбления, Киев выплатил откуп Тимуру-Кутлуку 3 тысячи литовских рублей."
"В 1417 году Ягайло занял у Витовта 500 литовских ₽ чистого серебра.","В 1417 году Ягайло занял у Витовта 500 литовских рублей чистого серебра."
"Шталенков И. Н. Региональные варианты новгородских ₽ и литовские трехгранные гривны // Средневековая нумизматика Восточной Европы / отв. ред. В. В. Зайцев.","Шталенков И. Н. Региональные варианты новгородских рублей и литовские трехгранные гривны // Средневековая нумизматика Восточной Европы / отв. ред. В. В. Зайцев."
"Boeing 707-329 (регистрационный № OO-SJB, заводской 17624, серийный 092) был выпущен в 1959 году (первый полёт совершил 13 декабря).","Boeing 707-329 (регистрационный номер OO-SJB, заводской 17624, серийный 092) был выпущен в 1959 году (первый полёт совершил 13 декабря)."
"Детей водят на экскурсии в зоопарк в составе групп (= как и военнослужащих), но иногда они приходят и с родителями.","Детей водят на экскурсии в зоопарк в составе групп (равно как и военнослужащих), но иногда они приходят и с родителями."
"Потери в результате урагана и последовавшего за ним наводнения составили около 2 млрд. $.","Потери в результате урагана и последовавшего за ним наводнения составили около 2 млрд. долларов."
"Угловой размер этого объекта — порядка нескольких °, что соответствует линейному размеру в несколько килопарсек.","Угловой размер этого объекта — порядка нескольких градусов, что соответствует линейному размеру в несколько килопарсек."
"То есть, в песнях используются только пять нот на октаву в отличие от гептатонической (семь нот) гаммы, такой как мажорная γ .","То есть, в песнях используются только пять нот на октаву в отличие от гептатонической (семь нот) гаммы, такой как мажорная гамма ."
"Под надписью помещён № медали.","Под надписью помещён номер медали."
"Высота холмов — 5—6 м, крутизна склонов — до 3 °.","Высота холмов — 5—6 м, крутизна склонов — до 3 градусов."
"К северу от деревни Потапово по левому борту реки хорошо выражен коренной склон долины крутизной до 30 ° под еловым лесом на дерновой маломощной суглинистой почве.","К северу от деревни Потапово по левому борту реки хорошо выражен коренной склон долины крутизной до 30 градусов под еловым лесом на дерновой маломощной суглинистой почве."
"Амплитуда рельефа составляет от 3 до 6 м, склоны преимущественно пологие (до 3 °).","Амплитуда рельефа составляет от 3 до 6 м, склоны преимущественно пологие (до 3 градусов)."
"Основная поверхность имеет пологоволнистый характер и осложнена несколькими ложбинами шириной 130—150 м с пологими склонами крутизной до 30 °.","Основная поверхность имеет пологоволнистый характер и осложнена несколькими ложбинами шириной 130—150 м с пологими склонами крутизной до 30 градусов."
"В 2015 году Банком России выпущена серебряная монета номиналом 25 ₽ в серии «Памятники архитектуры России», посвященная дворцу.","В 2015 году Банком России выпущена серебряная монета номиналом 25 рублей в серии «Памятники архитектуры России», посвященная дворцу."
"Стоимость груза составляла около 700 млн $ в ценах 1942 года.","Стоимость груза составляла около 700 млн долларов в ценах 1942 года."
"Полуплодики эллиптические или овально-эллиптические, со спинки немного выпуклые, ρ рёбрам — угловатые, длиной 10—12 мм, шириной 5,5—6 мм.","Полуплодики эллиптические или овально-эллиптические, со спинки немного выпуклые, ро рёбрам — угловатые, длиной 10—12 мм, шириной 5,5—6 мм."
"Флаг утверждён 12 февраля 2010 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 6009.","Флаг утверждён 12 февраля 2010 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 6009."
"Общие затраты составили значительную по тем временам сумму в 11 тысяч ₽.","Общие затраты составили значительную по тем временам сумму в 11 тысяч рублей."
"По данным от социологических исследований таких как НИСЭПИ, Regnum и другие рейтинг Санникова составил от 0,5 до 10,6 % (после А.Лукашенко и В.Некляева).","По данным от социологических исследований таких как НИСЭПИ, Regnum и другие рейтинг Санникова составил от 0,5 до 10,6 процентов (после А.Лукашенко и В.Некляева)."
"Объём отгруженных товаров собственного производства, выполнено работ и услуг собственными силами обрабатывающие производства за 2010 год — 65,54 млрд ₽.","Объём отгруженных товаров собственного производства, выполнено работ и услуг собственными силами обрабатывающие производства за 2010 год — 65,54 млрд рублей."
"Трудящимися района получено продукции животноводства на 22 % больше, чем за годы восьмой пятилетки, перевыполнен план и по всем другим показателям.","Трудящимися района получено продукции животноводства на 22 процента больше, чем за годы восьмой пятилетки, перевыполнен план и по всем другим показателям."
