question,answer
"Есайа Сварт, более изв. под именем Шак, появился на свет 3 июля 1938 года в небольшой деревне Мёйдерберг в 15 км от Амстердама и был старшим ребёнком в семье из двух детей.","Есайа Сварт, более известный под именем Шак, появился на свет 3 июля 1938 года в небольшой деревне Мёйдерберг в 15 километрах от Амстердама и был старшим ребёнком в семье из двух детей."
"Интернет есть, но он распределяется между всеми беженцами: одному человеку даётся 40 с в день, выдаются карточки.","Интернет есть, но он распределяется между всеми беженцами: одному человеку даётся 40 секунд в день, выдаются карточки."
"Рэнди этим не доволен, он замечает, что 40 с не хватит даже на Википедию.","Рэнди этим не доволен, он замечает, что 40 секунд не хватит даже на Википедию."
"На помощь специалистам приходит Кайл, к-рый отключает его от сети, ждёт неск. с, а затем снова включает.","На помощь специалистам приходит Кайл, который отключает его от сети, ждёт несколько секунд, а затем снова включает."
"Золотая медаль игр 2024 года весит 529 г, 6 г из которых (1,13 %) — золото, которым покрыта медаль, 18 г — железо и 505 г (более 95,4 %) — серебро.","Золотая медаль игр 2024 года весит 529 граммов, 6 граммов из которых (1,13 %) — золото, которым покрыта медаль, 18 граммов — железо и 505 граммов (более 95,4 %) — серебро."
"серебр. медаль весит 525 г (507 г серебра и 18 г железа), её стоимость составляет предположительно 486 $.","Серебряная медаль весит 525 граммов (507 граммов серебра и 18 граммов железа), её стоимость составляет предположительно 486 $."
"бронз. медаль весит 455 г (415,15 г меди, 21,85 г цинка и 18 г железа); её стоимость — примерно 13 $.","Бронзовая медаль весит 455 граммов (415,15 граммов меди, 21,85 граммов цинка и 18 граммов железа); её стоимость — примерно 13 $."
"Вильгельм Мюллер выделял его из поздних романтиков и указывал на свойственные ему особенности: «простота формы, певучесть м, естественная непринуждённость языка и выражения, интуитивно-глубокая искренность».","Вильгельм Мюллер выделял его из поздних романтиков и указывал на свойственные ему особенности: «простота формы, певучесть метра, естественная непринуждённость языка и выражения, интуитивно-глубокая искренность»."
"Каждая сигарета является источником примерно 52—95 нг (0,05—0,09 мкг) бензапирена.","Каждая сигарета является источником примерно 52—95 нанограмм (0,05—0,09 мкг) бензапирена."
"По данным от 2009 года, шоколад, продающийся в Германии, содержит от 0,07 до 0,63 мкг (медианное значение 0,22 мкг) бензпирена на кг.","По данным от 2009 года, шоколад, продающийся в Германии, содержит от 0,07 до 0,63 мкг (медианное значение 0,22 мкг) бензпирена на килограмм."
"Мясо после термической обработки может содержать до 4 мкг бензапирена на кг, и до 5,5 мкг/кг в жареной курятине.","Мясо после термической обработки может содержать до 4 мкг бензапирена на килограмм, и до 5,5 мкг/кг в жареной курятине."
"Кулагина приблизился к пулемётным гнёздам противника на 100 м и в течение всего дня 28 августа 1941 года вёл интенсивный обстрел этих пулемётных гнезд.","Кулагина приблизился к пулемётным гнёздам противника на 100 метров и в течение всего дня 28 августа 1941 года вёл интенсивный обстрел этих пулемётных гнезд."
"Двигатель — бензиновый объёмом 1,5 л, с турбонаддувом, в вариантах форсировки на 150 л. с. (220 Нм) или 184 л. с. (275 Нм).","Двигатель — бензиновый объёмом 1,5 литра, с турбонаддувом, в вариантах форсировки на 150 л. с. (220 Нм) или 184 л. с. (275 Нм)."
"Расположен на высоте 20 м над уровнем моря на правом берегу Эвротаса на северном побережье залива Лаконикоса.","Расположен на высоте 20 метров над уровнем моря на правом берегу Эвротаса на северном побережье залива Лаконикоса."
"Находится в юго-восточной части полуострова Пелопоннеса, в 157 км к юго-западу от Афин, в 54 км к юго-востоку от Каламаты и в 32 км к юго-востоку от Спарты.","Находится в юго-восточной части полуострова Пелопоннеса, в 157 километрах к юго-западу от Афин, в 54 километрах к юго-востоку от Каламаты и в 32 километрах к юго-востоку от Спарты."
"пл. 34,33 квадратного км.","Площадь 34,33 квадратного километра."
"Мне было скучно кушать одно и то же все время, но я потерял более трех кг веса и чувствовал себя здоровым на протяжении всего эксперимента».","Мне было скучно кушать одно и то же все время, но я потерял более трех килограмм веса и чувствовал себя здоровым на протяжении всего эксперимента»."
"д. находится в северо-восточной части Костромской области, в подзоне южной тайги, к востоку от автодороги 34Н-11, на расстоянии приблизительно 13 км (по прямой) к юго-западу от села Павино, административного центра района.","Деревня находится в северо-восточной части Костромской области, в подзоне южной тайги, к востоку от автодороги 34Н-11, на расстоянии приблизительно 13 километров (по прямой) к юго-западу от села Павино, административного центра района."
"Абсолютная выс. — 169 м над уровнем моря.","Абсолютная высота — 169 метров над уровнем моря."
"д. находится в юго-западной части Архангельской области, в подзоне средней тайги, в пределах северной части Восточно-Европейской равнины, на правом берегу реки Свиди, на расстоянии примерно 63 км (по прямой) к юго-юго-западу от города Каргополя, административного центра района.","Деревня находится в юго-западной части Архангельской области, в подзоне средней тайги, в пределах северной части Восточно-Европейской равнины, на правом берегу реки Свиди, на расстоянии примерно 63 километров (по прямой) к юго-юго-западу от города Каргополя, административного центра района."
"д. находится в юго-восточной части Тульской области, в лесостепной зоне, при автодороге 70К-139, на расстоянии примерно 18 км (по прямой) к юго-востоку от города Ефремова, административного центра округа.","Деревня находится в юго-восточной части Тульской области, в лесостепной зоне, при автодороге 70К-139, на расстоянии примерно 18 километров (по прямой) к юго-востоку от города Ефремова, административного центра округа."
"Абсолютная выс. — 210 м над уровнем моря.","Абсолютная высота — 210 метров над уровнем моря."
"Одновременно с кормы по левому борту с расстояния 150 м быстро приближалась моторная лодка.","Одновременно с кормы по левому борту с расстояния 150 метров быстро приближалась моторная лодка."
"д. находится в центральной части Новгородской области, в зоне хвойно-широколиственных лесов, на правом берегу реки Волмы, на расстоянии примерно 18 км (по прямой) к северу от рабочего посёлка Крестцы, административного центра района.","Деревня находится в центральной части Новгородской области, в зоне хвойно-широколиственных лесов, на правом берегу реки Волмы, на расстоянии примерно 18 километров (по прямой) к северу от рабочего посёлка Крестцы, административного центра района."
"Сегодняшний Ставрополь — это ок. 530 улиц общей протяжённостью более 700 км, св. 28 тыс. строений, из которых 23,8 тыс. — жилые, общей полезной площадью более 6,5 млн м².","Сегодняшний Ставрополь — это около 530 улиц общей протяжённостью более 700 километров, свыше 28 тысяч строений, из которых 23,8 тысячи — жилые, общей полезной площадью более 6,5 млн м²."
"дл. его продольной оси равнялась 700, а поперечной — 320 м.","Длина его продольной оси равнялась 700, а поперечной — 320 метрам."
"выс. вала составляла 1,8 м, ров имел глубину ок. 3,5 м и ширину от 6 до 9 м.","Высота вала составляла 1,8 метра, ров имел глубину около 3,5 метра и ширину от 6 до 9 метров."
"Установлен 7 мая 1975 года на пересечении улиц Доваторцев и Шпаковской (три клинка высотой 34 м каждый), служивший визитной карточкой Ставрополя.","Установлен 7 мая 1975 года на пересечении улиц Доваторцев и Шпаковской (три клинка высотой 34 метра каждый), служивший визитной карточкой Ставрополя."
"Самая высокая точка района — гора Парашка (1268 м).","Самая высокая точка района — гора Парашка (1268 метра)."
"Самый быстрый гол в истории чемпионата Европы забил Недим Байрами (сборная Албании) в 2024 г — через 22 с после стартового свистка.","Самый быстрый гол в истории чемпионата Европы забил Недим Байрами (сборная Албании) в 2024 году — через 22 секунды после стартового свистка."
"Под предлогом минимизации убытков и нерациональности использования началась массовая ликвидация трамвайных линий: были демонтированы сотни км пассажирских путей, а также все грузовые и служебные.","Под предлогом минимизации убытков и нерациональности использования началась массовая ликвидация трамвайных линий: были демонтированы сотни километров пассажирских путей, а также все грузовые и служебные."
"17 дек. 2007 года вице-губернатор Александр Полукеев заявил, что «городские трамвайные пути растут в длину» при т., что за предыдущие 6 лет не было построено ни одной новой линии и протяжённость трамвайных линий в городе каждый г уменьшалась на десятки км.","17 декабря 2007 года вице-губернатор Александр Полукеев заявил, что «городские трамвайные пути растут в длину» при том, что за предыдущие 6 лет не было построено ни одной новой линии и протяжённость трамвайных линий в городе каждый год уменьшалась на десятки километров."
"В 2005 г на Адмиралтейском проспекте на месте пуска первого петербургского трамвая в тротуар были вмонтированы 30 м рельсов, а 29 сентября 2007 года была установлена мемор. плита.","В 2005 году на Адмиралтейском проспекте на месте пуска первого петербургского трамвая в тротуар были вмонтированы 30 метров рельсов, а 29 сентября 2007 года была установлена мемориальная плита."
"В качестве постамента были использованы неск. м рельсов, установленных там, где в блокаду находились оборонительные сооружения.","В качестве постамента были использованы несколько метров рельсов, установленных там, где в блокаду находились оборонительные сооружения."
"В 1990-х гг он также был зарегистрирован в защищенном лесу горы Пембарисан и защищенном лесу горы Диенг, а ранее в XX веке он был зарегистрирован в Джампанг Кл (не охраняемый), защищенном лесу горы Сламат и защищенном лесу / природном заповеднике сев. Парахьянган.","В 1990-х годах он также был зарегистрирован в защищенном лесу горы Пембарисан и защищенном лесу горы Диенг, а ранее в XX веке он был зарегистрирован в Джампанг Кулон (не охраняемый), защищенном лесу горы Сламат и защищенном лесу / природном заповеднике Северный Парахьянган."
"На 4W61 устанавливался новый двигатель Nissan NB объёмом 3,7 л и мощностью 92 л.с., позже сменившийся 105-ти сильным 4,0-литровым двигателем Nissan NC.","На 4W61 устанавливался новый двигатель Nissan NB объёмом 3,7 литров и мощностью 92 л.с., позже сменившийся 105-ти сильным 4,0-литровым двигателем Nissan NC."
"единств. отличие состоит в использовании на 4W66 двигателя P, объёмом 4,0 л и мощностью 125 л.с.","Единственное отличие состоит в использовании на 4W66 двигателя P, объёмом 4,0 литра и мощностью 125 л.с."
"Колёсная база: 2,2/2,5/2,8 м","Колёсная база: 2,2/2,5/2,8 метра"
"Все универсалы имели 95-литровый основной топливный бак, к которому мог устанавливаться дополнительно бак на 90 или 95 л.","Все универсалы имели 95-литровый основной топливный бак, к которому мог устанавливаться дополнительно бак на 90 или 95 литров."
"с. находится на правом берегу реки Сагсаганчай, в 22 км от районного центра Болниси, на высоте 510 м от уровня моря.","Село находится на правом берегу реки Сагсаганчай, в 22 км от районного центра Болниси, на высоте 510 метров от уровня моря."
"На одном квадратном м ковра находится от 160000 до 250000 узлов.","На одном квадратном метре ковра находится от 160000 до 250000 узлов."
"Во дворе школы сохранился пандус высотой ок. 75 см, под которым располагается подвал глубиной до 7 м со сводами, характерными для церковных построек конца XIX — начала XX в.","Во дворе школы сохранился пандус высотой около 75 см, под которым располагается подвал глубиной до 7 метров со сводами, характерными для церковных построек конца XIX — начала XX в."
"В апреле 2021 года на Чемпионате Европы в Москве, болг. тяжёлоатлетка (представляющая Азербайджан) в олимпийской весовой категории до 59 кг, с результатом 211 кг стала чемпионкой Европы.","В апреле 2021 года на Чемпионате Европы в Москве, Болгарская тяжёлоатлетка (представляющая Азербайджан) в олимпийской весовой категории до 59 кг, с результатом 211 килограммов стала чемпионкой Европы."
"Эффективная температура — ок. 4037 К. Удалён на 10,6 угловых с.","Эффективная температура — около 4037 К. Удалён на 10,6 угловых секунд."
"Удалён на 0,045 угловой с.","Удалён на 0,045 угловой секунды."
"Курса имеет видимого компаньона, CCDM J05079-0506B, к-рый имеет звёздную величину 10,9m и отстоит от главной звезды на расстоянии 116,7 угловых с, а его позиционный угол равен 143 °.","Курса имеет видимого компаньона, CCDM J05079-0506B, который имеет звёздную величину 10,9m и отстоит от главной звезды на расстоянии 116,7 угловых секунд, а его позиционный угол равен 143 градуса."
"Находится примерно в 200 км к северо-востоку от Бергена и в 280 км к северо-западу от Осло.","Находится примерно в 200 километрах к северо-востоку от Бергена и в 280 километрах к северо-западу от Осло."
"Фьорд простирается на 15 км и представляет собой одно из ответвлений Стур-фьорда.","Фьорд простирается на 15 километров и представляет собой одно из ответвлений Стур-фьорда."
"Глубина составляет 565 м.","Глубина составляет 565 метров."
"По берегам располагаются отвесные скалы высотой до 1400 м и ледники.","По берегам располагаются отвесные скалы высотой до 1400 метров и ледники."
"Средняя выс. озера над уровнем моря составляет 1281 м, но в зависимости от времени года может колебаться на ± 3,0 м.","Средняя высота озера над уровнем моря составляет 1281 м, но в зависимости от времени года может колебаться на ± 3,0 метра."
"На олимпийских играх 1920 года выиграл серебряную медаль в беге на 800 м, показав результат 1.53,6.","На олимпийских играх 1920 года выиграл серебряную медаль в беге на 800 метров, показав результат 1.53,6."
"Но, в отличие от аналога в UNIX, конвейер PowerShell является полностью объектным, то есть данные между командлетами передаются в виде полноценных объектов соответствующих типов, а не как поток Б.","Но, в отличие от аналога в UNIX, конвейер PowerShell является полностью объектным, то есть данные между командлетами передаются в виде полноценных объектов соответствующих типов, а не как поток байтов."
"Результатом выполнения такой относительно короткой команды станет создание архива, внутри которого будет поток нулевых Б размером 1 ТБ.","Результатом выполнения такой относительно короткой команды станет создание архива, внутри которого будет поток нулевых байтов размером 1 терабайт."
"Подобно большинству винных подвалов Шампани они появились в результате добычи известняка в древние времена, и имеют длину 8 км, залегая на глубине 38 м под землёй.","Подобно большинству винных подвалов Шампани они появились в результате добычи известняка в древние времена, и имеют длину 8 км, залегая на глубине 38 метров под землёй."
"Меловой грунт способствует поддержанию постоянной температуры в 11 °.","Меловой грунт способствует поддержанию постоянной температуры в 11 градусов."
"Они ещё более убеждают в т., что некогда в Тункинской котловине было большое оз., в котором вода стояла на высоком уровне, потому что обнажения встречаются на высоте не менее 4 м (ок. 2 саженей) над теперешним уровнем пади Жемчуга.","Они ещё более убеждают в том, что некогда в Тункинской котловине было большое озеро, в котором вода стояла на высоком уровне, потому что обнажения встречаются на высоте не менее 4 метров (около 2 саженей) над теперешним уровнем пади Жемчуга."
"Сан-Хуан-де-Манапьяре расположен на северо-востоке штата, в юго-западной части Гвианского плоскогорья, на левом берегу реки Вентуари, на расстоянии приблизительно 169 км к востоку-юго-востоку (ESE) от города Пуэрто-Аякучо, административного центра штата.","Сан-Хуан-де-Манапьяре расположен на северо-востоке штата, в юго-западной части Гвианского плоскогорья, на левом берегу реки Вентуари, на расстоянии приблизительно 169 километров к востоку-юго-востоку (ESE) от города Пуэрто-Аякучо, административного центра штата."
"Абсолютная выс. — 135 м над уровнем моря.","Абсолютная высота — 135 метров над уровнем моря."
"Если скорость ветра тропического шторма превышает 60 км в час, то ему присваивается личное имя.","Если скорость ветра тропического шторма превышает 60 километров в час, то ему присваивается личное имя."
"Примерно в пяти км юго-восточнее озера Асаль располагается бухта Губбет-Хараб, представляющая собой обособленное окончание залива Таджура на востоке Аденского залива Аравийского моря.","Примерно в пяти километрах юго-восточнее озера Асаль располагается бухта Губбет-Хараб, представляющая собой обособленное окончание залива Таджура на востоке Аденского залива Аравийского моря."
"«…чтобы вернее поразить расчет вражеского пулемета, находившегося в дзоте, протащили свой „максим“ через проволоку и с расстояния 5-7 м дали неск. очередей в амбразуру.","«…чтобы вернее поразить расчет вражеского пулемета, находившегося в дзоте, протащили свой „максим“ через проволоку и с расстояния 5-7 метров дали несколько очередей в амбразуру."
"Устанавливается или выбирается скамья с наклоном в 0 или 30 °.","Устанавливается или выбирается скамья с наклоном в 0 или 30 градусов."
"Черёмухино расположено в 29 км на з. от Калининграда и в 3 км к северо-востоку от Приморска.","Черёмухино расположено в 29 километрах на запад от Калининграда и в 3 километрах к северо-востоку от Приморска."
"д. находится в северо-восточной части Тверской области, в зоне хвойно-широколиственных лесов, в пределах Моложской зандровой низины, к востоку от автодороги 28К-0874, на расстоянии примерно 29 км (по прямой) к северо-западу от Максатихи, административного центра района.","Деревня находится в северо-восточной части Тверской области, в зоне хвойно-широколиственных лесов, в пределах Моложской зандровой низины, к востоку от автодороги 28К-0874, на расстоянии примерно 29 километров (по прямой) к северо-западу от Максатихи, административного центра района."
"Абсолютная выс. — 144 м над уровнем моря.","Абсолютная высота — 144 метра над уровнем моря."
"Однако И-16 превосходили своих конкурентов в манёвренности, особенно на высотах ниже 3000 м.","Однако И-16 превосходили своих конкурентов в манёвренности, особенно на высотах ниже 3000 метров."
"В этой области возникли проблемы: на севере граница с Финляндией пролегала в 20—30 км от Ленинграда, важнейшего индустриального центра страны.","В этой области возникли проблемы: на севере граница с Финляндией пролегала в 20—30 километрах от Ленинграда, важнейшего индустриального центра страны."
"Во время лётных испытаний была достигнута скорость, значительно превышающая 800 км в час.","Во время лётных испытаний была достигнута скорость, значительно превышающая 800 километров в час."
"Он имел крыло со стреловидностью 35 °, трёхопорное шасси с носовым колесом, герметичную кабину, оборудованную новой аппаратурой, новым катапультным креслом.","Он имел крыло со стреловидностью 35 градусов, трёхопорное шасси с носовым колесом, герметичную кабину, оборудованную новой аппаратурой, новым катапультным креслом."
"На вооружение советских ВВС в середине 1960-х годов начали поступать такие истребители как МиГ-25, способные летать на скоростях, трёхкратно превышающих скорость звука, и подниматься на 24 000 м.","На вооружение советских ВВС в середине 1960-х годов начали поступать такие истребители как МиГ-25, способные летать на скоростях, трёхкратно превышающих скорость звука, и подниматься на 24 000 метров."
"В этом списке приведены небоскрёбы Вьетнама с высотой от 160 м, основанные на стандартных измерениях высоты.","В этом списке приведены небоскрёбы Вьетнама с высотой от 160 метров, основанные на стандартных измерениях высоты."
"В списке перечислены строящиеся здания которые как планируется превысят планку в 100 м.","В списке перечислены строящиеся здания которые как планируется превысят планку в 100 метров."
"д. находится в западной части Псковской области, в пределах Прибалтийской низменности, в зоне хвойно-широколиственных лесов, при автодороге 58К-306, на расстоянии примерно 14 км (по прямой) к югу от Пыталова, административного центра района.","Деревня находится в западной части Псковской области, в пределах Прибалтийской низменности, в зоне хвойно-широколиственных лесов, при автодороге 58К-306, на расстоянии примерно 14 километров (по прямой) к югу от Пыталова, административного центра района."
"Город расположен на берегу Персидского залива в нескольких км от города Шарджа, образуя вместе с Шарджей и Дубаем агломерацию с населением ок. 3 млн чел..","Город расположен на берегу Персидского залива в нескольких километрах от города Шарджа, образуя вместе с Шарджей и Дубаем агломерацию с населением около 3 млн человек."
